shape,kernel,latency_ms,tflops,pct_sol,gb_s,vs_torch
2048x2048x2048,torch,0.133152,129.02,0.5873,189.0,1.00
2048x2048x2048,tilelang,0.501760,34.24,0.1558,50.2,0.27
4096x4096x4096,torch,0.908352,151.31,0.6887,110.8,1.00
4096x4096x4096,tilelang,3.135488,43.83,0.1995,32.1,0.29
8192x8192x8192,torch,7.872608,139.66,0.6357,51.1,1.00
8192x8192x8192,tilelang,27.503616,39.98,0.1820,14.6,0.29
