shape,kernel,latency_ms,tflops,pct_sol,gb_s,vs_torch
2048x2048x2048,torch,0.027584,622.82,0.6297,912.3,1.00
2048x2048x2048,tilelang,0.379200,45.31,0.0458,66.4,0.07
2048x2048x2048,2D_coarsening,2.558944,6.71,0.0068,9.8,0.01
4096x4096x4096,torch,0.170656,805.36,0.8143,589.9,1.00
4096x4096x4096,tilelang,3.089376,44.49,0.0450,32.6,0.06
4096x4096x4096,2D_coarsening,20.870273,6.59,0.0067,4.8,0.01
8192x8192x8192,torch,1.563568,703.21,0.7110,257.5,1.00
8192x8192x8192,tilelang,23.144784,47.51,0.0480,17.4,0.07
8192x8192x8192,2D_coarsening,167.496384,6.56,0.0066,2.4,0.01
