Annotation,Metric,n,AvgValue,StdDev,MinValue,MaxValue,NumRuns,Kernel,GPU,Host,ComputeClock,MemoryClock,Unit,CI95_Lower,CI95_Upper,RelativeStdDevPct,StableMeasurement,Normalized,Geomean
vecadd_cuda,gpu__time_duration.sum,7340032,129785.6,215.1390248188364,129568.0,130048.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,129597.0223302297,129974.17766977032,0.1657649421960806,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,8388608,148422.4,609.0096879360788,147520.0,149120.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,147888.57947201704,148956.22052798295,0.41032195136049465,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,9437184,166860.8,490.86372854388145,166144.0,167392.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,166430.53897143246,167291.06102856752,0.2941755814091036,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,10485760,184896.0,679.9529395480243,184128.0,185888.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,184299.99497022256,185492.00502977744,0.3677488639819273,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,11534336,204025.6,363.73176930259837,203456.0,204416.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,203706.77504699916,204344.42495300085,0.17827751483274568,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,12582912,222118.4,608.5891882049814,221120.0,222624.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,221584.94805628248,222651.8519437175,0.2739931442892536,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,13631488,241068.8,1255.0773681331343,239712.0,243040.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,239968.67618163044,242168.92381836954,0.5206303628396269,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,14680064,258284.8,510.7985904444138,257472.0,258880.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,257837.06529455044,258732.53470544954,0.19776564104601346,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,15728640,277395.2,572.7016675372976,276928.0,278112.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,276893.2048550992,277897.1951449008,0.20645694934061498,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,16777216,294739.2,549.8974449840654,293984.0,295424.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,294257.19363748597,295221.20636251406,0.1865708548384692,True,False,127198.13412519648
vecadd_cuda_float4,gpu__time_duration.sum,1048576,19430.4,211.5391216772918,19072.0,19616.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,19244.97778445936,19615.822215540644,1.088701836695548,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,2097152,37971.2,250.54181287761048,37568.0,38176.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,37751.590418278254,38190.80958172174,0.6598206347906058,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,3145728,56192.0,371.11723215178256,55808.0,56608.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,55866.70140338452,56517.29859661548,0.6604449604067885,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,4194304,74540.8,212.98638454135966,74208.0,74784.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,74354.10920262638,74727.49079737363,0.2857312834600107,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,5242880,92819.2,246.4207783446836,92480.0,93024.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,92603.20266431273,93035.19733568726,0.26548470396715723,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,6291456,111552.0,431.11019472983975,111040.0,112128.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,111174.11525312603,111929.88474687397,0.38646567944083454,True,False,126423.3569229008
