Annotation,Value,Metric,Kernel,GPU,Host,ComputeClock,MemoryClock,Unit,n
torch.add,149696.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
torch.add,148192.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
torch.add,167968.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
torch.add,166496.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
torch.add,166848.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
torch.add,166880.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
torch.add,167392.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
torch.add,184352.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
torch.add,185568.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
torch.add,185152.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
torch.add,185216.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
torch.add,185024.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
torch.add,202976.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
torch.add,203840.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
torch.add,203584.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
torch.add,203648.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
torch.add,202656.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
torch.add,222496.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
torch.add,222016.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
torch.add,221344.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
torch.add,223072.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
torch.add,222720.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
torch.add,239008.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
torch.add,241504.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
torch.add,239168.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
torch.add,240576.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
torch.add,239488.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
torch.add,259264.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,14680064
torch.add,258240.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,14680064
torch.add,259008.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,14680064
torch.add,258432.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,14680064
torch.add,259680.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,14680064
torch.add,277344.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,15728640
torch.add,276000.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,15728640
torch.add,275936.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,15728640
torch.add,276832.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,15728640
torch.add,277472.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,15728640
torch.add,295424.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,16777216
torch.add,296640.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,16777216
torch.add,295616.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,16777216
torch.add,295040.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,16777216
torch.add,294560.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,16777216
vecadd_cuda,19296.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
vecadd_cuda,19392.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
vecadd_cuda,19424.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
vecadd_cuda,19040.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
vecadd_cuda,19392.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
vecadd_cuda,39264.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
vecadd_cuda,38976.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
vecadd_cuda,38688.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
vecadd_cuda,38752.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
vecadd_cuda,38720.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
vecadd_cuda,56832.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
vecadd_cuda,56320.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
vecadd_cuda,56352.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
vecadd_cuda,60832.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
vecadd_cuda,56992.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
vecadd_cuda,75392.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,4194304
vecadd_cuda,76064.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,4194304
vecadd_cuda,75840.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,4194304
vecadd_cuda,75680.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,4194304
vecadd_cuda,75584.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,4194304
vecadd_cuda,93312.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,5242880
vecadd_cuda,93120.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,5242880
vecadd_cuda,93824.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,5242880
vecadd_cuda,93120.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,5242880
vecadd_cuda,94080.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,5242880
vecadd_cuda,112032.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,6291456
